Timestamp,Business_Num,Business_Name,Details
2024-12-15 18:13:02,1485883,설맥 광주쌍령점,성공적으로 메뉴 추출 완료
2024-12-15 18:14:07,1485886,진심왕돈까스성성점,성공적으로 메뉴 추출 완료
2024-12-15 18:16:22,1485893,바삭한 소리,성공적으로 메뉴 추출 완료
2024-12-15 18:19:22,1485902,남산제면소,성공적으로 메뉴 추출 완료
2024-12-15 18:21:01,1485906,막퍼주는시골집밥(한박궁),성공적으로 메뉴 추출 완료
2024-12-15 18:22:08,1485909,야끼니꾸 욕망,성공적으로 메뉴 추출 완료
2024-12-15 18:22:37,1485910,언양뚝배기,성공적으로 메뉴 추출 완료
2024-12-15 18:30:36,1485934,소인정,성공적으로 메뉴 추출 완료
2024-12-15 18:32:23,1485939,수리멀곰탕,성공적으로 메뉴 추출 완료
2024-12-15 18:32:50,1485940,우담 샤브 칼국수,성공적으로 메뉴 추출 완료
2024-12-15 18:33:17,1485941,혼밥대표JMT 용현점,성공적으로 메뉴 추출 완료
2024-12-15 18:34:59,1485945,탄광맥주 홍천점,성공적으로 메뉴 추출 완료
2024-12-15 18:35:26,1485946,카페우후연,성공적으로 메뉴 추출 완료
2024-12-15 18:36:20,1485949,마장동고기집 초읍점,성공적으로 메뉴 추출 완료
2024-12-15 18:37:00,1485951,단원의뜰,성공적으로 메뉴 추출 완료
2024-12-15 18:37:27,1485952,풍일로두루치기,성공적으로 메뉴 추출 완료
2024-12-15 18:37:57,1485953,샘골국밥,성공적으로 메뉴 추출 완료
2024-12-15 18:38:47,1485955,노작진성아구찜 동탄본점,성공적으로 메뉴 추출 완료
2024-12-15 18:39:41,1485958,포도포포도도,성공적으로 메뉴 추출 완료
2024-12-15 18:40:08,1485959,그리드인그릭 호매실점,성공적으로 메뉴 추출 완료
2024-12-15 18:42:50,1485967,아메리칸익스프레스탕정점,성공적으로 메뉴 추출 완료
2024-12-15 18:46:33,1485978,네모샌드위치&동그라미쿠키 신월성점,성공적으로 메뉴 추출 완료
2024-12-15 18:47:07,1485979,땡큐닭,성공적으로 메뉴 추출 완료
2024-12-15 18:48:49,1485983,춘리마라탕 산울점,성공적으로 메뉴 추출 완료
2024-12-15 18:51:28,1485991,광선집 부천신중동점,성공적으로 메뉴 추출 완료
2024-12-15 18:52:01,1485992,금별맥주 경북상주점,성공적으로 메뉴 추출 완료
2024-12-15 18:53:37,1485997,온누리뷔페,성공적으로 메뉴 추출 완료
2024-12-15 18:56:32,1486005,순대국고깃집,성공적으로 메뉴 추출 완료
2024-12-15 18:57:01,1486006,동두천족발,성공적으로 메뉴 추출 완료
2024-12-15 18:57:30,1486007,밀집모자,성공적으로 메뉴 추출 완료
2024-12-15 18:57:59,1486008,그랩앤고크레페첨단원로그점,성공적으로 메뉴 추출 완료
2024-12-15 18:59:09,1486011,106km,성공적으로 메뉴 추출 완료
2024-12-15 19:00:20,1486014,행복한국수,성공적으로 메뉴 추출 완료
2024-12-15 19:04:01,1486026,안주상회,성공적으로 메뉴 추출 완료
2024-12-15 19:04:48,1486028,두문포갈치,성공적으로 메뉴 추출 완료
2024-12-15 19:06:17,1486031,버거리 안동용상점,성공적으로 메뉴 추출 완료
2024-12-15 19:06:55,1486032,맥주밤거리 대구옥포점,성공적으로 메뉴 추출 완료
2024-12-15 19:09:07,1486039,산애들,성공적으로 메뉴 추출 완료
2024-12-15 19:09:49,1486041,쿠우쿠우 평택고덕점,성공적으로 메뉴 추출 완료
2024-12-15 19:12:15,1486049,안주청,성공적으로 메뉴 추출 완료
2024-12-15 19:15:52,1486061,불만난고등어 효자점,성공적으로 메뉴 추출 완료
2024-12-15 19:18:10,1486067,닭장수후라이드 상대점,성공적으로 메뉴 추출 완료
2024-12-15 19:19:29,1486071,방자화로 고잔,성공적으로 메뉴 추출 완료
2024-12-15 19:23:28,1486083,이가도삭면,성공적으로 메뉴 추출 완료
2024-12-15 19:25:53,1486090,움버거앤윙스 부산광안역점,성공적으로 메뉴 추출 완료
2024-12-15 19:26:55,1486093,테파스(TEPAS),성공적으로 메뉴 추출 완료
2024-12-15 19:27:23,1486094,아리 돈가스&국수,성공적으로 메뉴 추출 완료
2024-12-15 19:28:35,1486097,선비꼬마김밥 청송점,성공적으로 메뉴 추출 완료
2024-12-15 19:29:03,1486098,고기굽스,성공적으로 메뉴 추출 완료
2024-12-15 19:34:35,1486116,땡땡이의 언니카세,성공적으로 메뉴 추출 완료
2024-12-15 19:35:42,1486119,참정성 한우곰탕,성공적으로 메뉴 추출 완료
2024-12-15 19:37:27,1486124,순치킨,성공적으로 메뉴 추출 완료
2024-12-15 19:38:15,1486126,필봉다방,성공적으로 메뉴 추출 완료
2024-12-15 19:38:45,1486127,돈심향,성공적으로 메뉴 추출 완료
2024-12-15 19:40:01,1486130,김복남맥주 대봉점,성공적으로 메뉴 추출 완료
2024-12-15 19:41:35,1486134,미카도스시부평시장역점,성공적으로 메뉴 추출 완료
2024-12-15 19:47:31,1486153,구이대장 쪽갈비 하남미사점,성공적으로 메뉴 추출 완료
2024-12-15 19:51:53,1486168,강철분식 떡볶이부대,성공적으로 메뉴 추출 완료
